Date,Open,High,Low,Close,Capital,price_change,volume,capital_change
2014-11-05,330.683014,343.368988,330.683014,339.485992,19817200,2.662059321861629,58970.0,26.58299000351314
2014-11-06,339.458008,352.966003,338.424011,349.290009,18797000,2.8963821056771155,54479.0,-5.148053206305633
2014-11-07,349.817993,352.731995,341.776001,342.415009,16834200,-2.116238772200606,48558.0,-10.44209182316327
2014-11-08,342.153992,347.032013,342.153992,345.488007,8535470,0.9744194362636474,24797.0,-49.29684808306899
2014-11-09,345.376007,363.626007,344.255005,363.264008,24205600,5.179283053092908,68352.0,183.5883671315112
2014-11-10,362.265015,374.81601,357.561005,366.924011,30450100,1.286073953346006,83336.0,25.797749281158076
2014-11-11,365.856995,371.309998,363.734985,367.695007,15838900,0.5023853650795967,43140.0,-47.98407887002013
2014-11-12,367.984985,429.717987,367.984985,423.561005,45783200,15.10279556650933,115232.0,189.05542682888333
2014-11-13,427.27301,457.092987,401.122986,420.734985,58945000,-1.5301750513097012,138188.0,28.74809973964249
2014-11-14,418.416992,419.252014,384.789001,397.817993,29589200,-4.923078984325759,73047.0,-49.80201883111375
2014-11-15,399.649994,405.528015,371.007996,376.132996,15727500,-5.884398436898263,40526.0,-46.847160450434615
2014-11-16,374.730011,390.799011,374.60199,387.881989,11905600,3.5097210295227694,31166.0,-24.30074709903036
2014-11-17,388.348999,410.199005,377.502014,387.40799,41518800,-0.24231013918488514,106223.0,248.73336917081036
2014-11-18,387.785004,392.402008,371.117004,375.197998,32222500,-3.245872292678969,84435.0,-22.390579689201036
2014-11-19,373.895996,386.480988,373.895996,380.554993,18931800,1.7809757449234624,49991.0,-41.24664442547909
2014-11-20,380.307007,382.024994,356.781006,357.839996,25233200,-5.907598489238462,68339.0,33.28473784848773
2014-11-21,357.878998,357.878998,344.112,350.847992,29850100,-1.964632191129597,84638.0,18.296926271737235
2014-11-22,351.604004,364.841003,350.877991,352.920013,15273000,0.3742872620984169,43015.0,-48.83434226351
2014-11-23,353.174988,370.845001,353.174988,367.572998,15151600,4.076735468028104,41949.0,-0.7948667583316964
2014-11-24,366.947998,387.209015,366.669006,376.901001,30930100,2.7123742476447643,82605.0,104.13751682990575
2014-11-25,376.885986,394.700989,374.783997,375.347992,25442200,-0.40807938133311916,66878.0,-17.742910627511712
2014-11-26,376.019012,377.697998,365.81601,368.369995,18601700,-2.03421017445787,50008.0,-26.88643277703972
2014-11-27,370.502014,373.992004,368.282013,369.670013,8748030,-0.22456045272671343,23604.0,-52.97187891429278
2014-11-28,369.373993,382.838013,358.454987,376.446991,22946500,1.9148608548626327,61721.0,162.30477033114886
2014-11-29,376.152008,387.601013,372.144989,375.490997,15375600,-0.17572975444545028,40693.0,-32.993702743337764
2014-11-30,375.51001,382.527008,373.30899,378.046997,9194440,0.6756110176663342,24366.0,-40.2010978433362
2014-12-01,378.248993,383.661987,376.669006,379.244995,11763000,0.2633191412091962,31000.0,27.93601350381317
2014-12-02,379.25,384.037994,377.863007,381.315002,12364100,0.5444962425840455,32484.0,5.110090963189663
2014-12-03,381.721985,383.026001,374.346008,375.01001,13340100,-1.7583412178892435,35242.0,7.893821628747745
2014-12-04,375.717987,378.654999,367.759003,369.604004,14529600,-1.6272798246414588,38960.0,8.916724762183193
2014-12-05,369.441986,379.191986,365.756012,376.854004,15181800,2.006273861899386,40723.0,4.488767756854973
2014-12-06,376.756989,378.447998,370.945007,374.785004,7009320,-0.5234103301531484,18680.0,-53.83077105481563
2014-12-07,374.835999,376.291992,373.274994,375.095001,6491650,0.06909741878874592,17317.0,-7.385452511798577
2014-12-08,374.964996,376.028992,361.885986,361.908997,18898700,-3.4819247501172046,51258.0,191.12321212634694
2014-12-09,361.894989,363.066986,344.950989,352.218994,32915500,-2.673702398239065,92581.0,74.16806447004292
2014-12-10,352.204987,352.384003,346.36499,346.36499,16427700,-1.6581244489874414,47026.0,-50.091294374990504
2014-12-11,344.339996,361.356995,338.763,350.506012,32431300,1.7906766775939713,92995.0,97.41838480128077
